Title,abstract,Authors,Keywords,publication year,doi link,pretreatment category,pretreatment type,pretreatment detail,substrate category,substrate name,substrate type,TS %,VS %,Tc %,Tn %,C/N,Cellulose %,hemi cellulose %,Lignin %
Investigation of Anaerobic Digestion Performance and System Stability of CaO-Ultrasonic Pretreated Dewatered Activated Sludge,"In this study, anaerobic digestion (AD) performance and system stability of CaO-ultrasonic pretreated sludge were investigated. The dewatered activated sludge (DAS) at four TS concentrations (4, 6, 8 and 10%) was pretreated by CaO-ultrasonic pretreatment. The results showed that CaO-ultrasonic pretreatment achieved better effect compared to the control, which was at same the TS concentrations, the CaO-ultrasonic pretreated DAS produced 4.24-44.99% higher cumulative biomethane production (CBP) than the control. The maximal CBP was achieved (76.11 mL/g VS) at 8% TS concentration, which was 9.52-30.76% higher than that of other TS concentrations. Therefore, CaO-ultrasonic pretreatment at 8% TS concentration could effectively disintegrate the DAS. Besides, the change of AD system parameters (such as NH4+-N concentration) could bring about decreasing of biomethane production during the AD of sludge process.","Yuan, HR; Guan, RL; Li, XJ; Zhu, C; Wachemo, AC; Zou, DX",Anaerobic digestion; CaO-ultrasonic pretreatment; Dewatered activated sludge; System stability,2019,http://dx.doi.org/10.1007/s12649-018-0299-5,Physical,ultrasonic,,activated sludge,dewatered activated sludge,,22,8.6,29,4,7,,,
Feasibility of anaerobic digestion on the release of biogas and heavy metals from rice straw pretreated with sodium hydroxide,"The feasibility of anaerobic digestion on the release of biogas and heavy metals from contaminated rice straw pretreated with NaOH solution was studied. The results show that NaOH pretreatment can significantly boost the release of biogas and heavy metals from rice straw using anaerobic digestion. Under the optimal conditions for biomass pretreated 6% (w/w) NaOH with a solid-to-solution ratio of 1:20, total biogas and methane yields of 446.3 mL/g and 263.5 mL/g volatile solids were achieved, which were 22.18% and 41.59% higher than those of the control without NaOH pretreatment, respectively, and the release percentages of Cd, Pb, Cu, and Zn from rice straw reached 86.95-97.69%. The release of heavy metals from rice straw can contribute to both the degradation of lignin by NaOH pretreatment and the utilization/transformation of lignocellulose via anaerobic digestion. The acidification levels and total volatile fatty acid contents significantly influence on the release of heavy metals. Based on the Illumina HiSeq sequencing analysis, the dominant phyla in the biogas residues were proteolytic (Bacteroidetes) and hydrogen-producing (Firmicutes) bacteria, while the growth of Methanospirillum and Methanosaeta in anaerobically digested effluent was promoted. The results revealed that anaerobic digestion combined with NaOH pretreatment is suitable for the disposal of heavy metal-contaminated biomass.","Xin, LQ; Guo, ZH; Xiao, XY; Peng, C; Zeng, P; Feng, WL; Xu, WX",Rice straw; NaOH pretreatment; Anaerobic digestion; Heavy metals; Microbial community,2019,http://dx.doi.org/10.1007/s11356-019-05195-x,Chemical,alkaline,naoh,lignocellulose,rice,straw,94,88,55,1.6,34.375,35,35,17
"Process optimization and effect of thermal, alkaline, H2O2 oxidation and combination pretreatment of sewage sludge on solubilization and anaerobic digestion","Background This study investigated the feasibility of enhancing anaerobic digestion of sewage sludge with triple, dual, and individual pretreatment of waste activated sludge with heat, alkalinity, and hydrogen peroxide. These pretreatments disrupt sludge flocs, organisms' cell walls, extracellular polymeric substance, and intracellular organic matter, which increase biodegradability and hydrolysis rate of activate sludge. In addition, the influence of various variables on methane production was analyzed using the response surface methodology with the quadratic model. Eventually, an optimized temperature and chemical concentration for the highest methane production and lowest chemical usage is suggested. Results The highest amount of methane production was obtained from the sludge pretreated with triple pretreatment (heat (90 degrees C), alkaline (pH = 12), and hydrogen peroxide (30 mg H2O2/g TS)), which had better performance with 96% higher methane production than that of the control sample with temperature of 25 degrees C approximately and a pH = 8. Response surface methodology with a quadratic model was also used for analyzing the influence of temperature, pH, and hydrogen peroxide concentration on anaerobic digestion efficiency. It was revealed that the optimized temperature, pH, and hydrogen peroxide concentration for maximizing methane production and solubilization of sludge and minimizing thermal energy and chemical additives of the pretreatments are 83.2 degrees C, pH = 10.6 and 34.8 mg H2O2/g TS, respectively, has the desirability of 0.67. Conclusion This study reveals that triple pretreatment of waste activated sludge performed better than dual and individual pretreatment, respectively, in all desirable output parameters including increasing methane production as the most important output, increasing in COD solubilization, protein and polysaccharide, and decreasing in VSS solubilization.","Siami, S; Aminzadeh, B; Karimi, R; Hallaji, SM",Anaerobic digestion; Sewage sludge; Pretreatment; Methane production; Response surface methodology,2020,http://dx.doi.org/10.1186/s12896-020-00614-1,Physical,thermal,,activated sludge,mixed sludge,,,,,,,,,
"Process optimization and effect of thermal, alkaline, H2O2 oxidation and combination pretreatment of sewage sludge on solubilization and anaerobic digestion","Background This study investigated the feasibility of enhancing anaerobic digestion of sewage sludge with triple, dual, and individual pretreatment of waste activated sludge with heat, alkalinity, and hydrogen peroxide. These pretreatments disrupt sludge flocs, organisms' cell walls, extracellular polymeric substance, and intracellular organic matter, which increase biodegradability and hydrolysis rate of activate sludge. In addition, the influence of various variables on methane production was analyzed using the response surface methodology with the quadratic model. Eventually, an optimized temperature and chemical concentration for the highest methane production and lowest chemical usage is suggested. Results The highest amount of methane production was obtained from the sludge pretreated with triple pretreatment (heat (90 degrees C), alkaline (pH = 12), and hydrogen peroxide (30 mg H2O2/g TS)), which had better performance with 96% higher methane production than that of the control sample with temperature of 25 degrees C approximately and a pH = 8. Response surface methodology with a quadratic model was also used for analyzing the influence of temperature, pH, and hydrogen peroxide concentration on anaerobic digestion efficiency. It was revealed that the optimized temperature, pH, and hydrogen peroxide concentration for maximizing methane production and solubilization of sludge and minimizing thermal energy and chemical additives of the pretreatments are 83.2 degrees C, pH = 10.6 and 34.8 mg H2O2/g TS, respectively, has the desirability of 0.67. Conclusion This study reveals that triple pretreatment of waste activated sludge performed better than dual and individual pretreatment, respectively, in all desirable output parameters including increasing methane production as the most important output, increasing in COD solubilization, protein and polysaccharide, and decreasing in VSS solubilization.","Siami, S; Aminzadeh, B; Karimi, R; Hallaji, SM",Anaerobic digestion; Sewage sludge; Pretreatment; Methane production; Response surface methodology,2020,http://dx.doi.org/10.1186/s12896-020-00614-1,Chemical,alkaline,,activated sludge,mixed sludge,,,,,,,,,
"Process optimization and effect of thermal, alkaline, H2O2 oxidation and combination pretreatment of sewage sludge on solubilization and anaerobic digestion","Background This study investigated the feasibility of enhancing anaerobic digestion of sewage sludge with triple, dual, and individual pretreatment of waste activated sludge with heat, alkalinity, and hydrogen peroxide. These pretreatments disrupt sludge flocs, organisms' cell walls, extracellular polymeric substance, and intracellular organic matter, which increase biodegradability and hydrolysis rate of activate sludge. In addition, the influence of various variables on methane production was analyzed using the response surface methodology with the quadratic model. Eventually, an optimized temperature and chemical concentration for the highest methane production and lowest chemical usage is suggested. Results The highest amount of methane production was obtained from the sludge pretreated with triple pretreatment (heat (90 degrees C), alkaline (pH = 12), and hydrogen peroxide (30 mg H2O2/g TS)), which had better performance with 96% higher methane production than that of the control sample with temperature of 25 degrees C approximately and a pH = 8. Response surface methodology with a quadratic model was also used for analyzing the influence of temperature, pH, and hydrogen peroxide concentration on anaerobic digestion efficiency. It was revealed that the optimized temperature, pH, and hydrogen peroxide concentration for maximizing methane production and solubilization of sludge and minimizing thermal energy and chemical additives of the pretreatments are 83.2 degrees C, pH = 10.6 and 34.8 mg H2O2/g TS, respectively, has the desirability of 0.67. Conclusion This study reveals that triple pretreatment of waste activated sludge performed better than dual and individual pretreatment, respectively, in all desirable output parameters including increasing methane production as the most important output, increasing in COD solubilization, protein and polysaccharide, and decreasing in VSS solubilization.","Siami, S; Aminzadeh, B; Karimi, R; Hallaji, SM",Anaerobic digestion; Sewage sludge; Pretreatment; Methane production; Response surface methodology,2020,http://dx.doi.org/10.1186/s12896-020-00614-1,Chemical,oxidizer,peroxide h2o2,activated sludge,mixed sludge,,,,,,,,,
Synergistic effect of alkaline pretreatment and Fe dosing on batch anaerobic digestion of maize straw,"The synergistic effect of alkaline pretreatment and Fe dosing on anaerobic digestion of maize straw was investigated using mesophilic batch reactors. Three straw treatments were investigated as follows: NaOH (4% and 6%) pretreatment, Fe dosage (50, 200, 1000 and 2000 mg/L), and combined NaOH pretreatment and Fe dosage. Compared to the control, NaOH pretreatment alone increased methane yield by 3.5% (313.3 mL CH4/gVS) and 22.5% (370.9 mL CH4/gVS) and shortened the technical digestion time (TDT) from 48 days to 19 days and 10 days in 4% NaOH and 6% NaOH pretreatment respectively. Moreover, Fe dosing (200-1000 mg/L) alone gave a methane yield higher (9.4%) than that obtained from 4% NaOH and 7.5% less than the methane yield from 6% NaOH pretreatment; however, the TDT was 10 days longer. Combining NaOH pretreatment and Fe dosage (200-1000 mg/L) significantly increased the methane yield even further to 21.8% (368.8 mL CH4/gVS) and 56.2% (472.9 mL CH4/gVS), and shortened TOT from 48 days to 13 days and 7 days in 4% NaOH and 6% NaOH pretreatment respectively. This synergistic effect may be attributed to the fact that the alkaline treatment improved accessibility of the biodegradable fraction of the straw while Fe contributed to increased microbial enzyme activity. (C) 2015 Elsevier Ltd. All rights reserved.","Khatri, S; Wu, SB; Kizito, S; Zhang, WQ; Li, JX; Dong, RJ",Anaerobic digestion; Maize straw; NaOH pretreatment; Fe dosing; Synergistic effect,2015,http://dx.doi.org/10.1016/j.apenergy.2015.08.045,Chemical,alkaline,naoh,lignocellulose,corn,straw,94,85.5,,,,38,30,4
Synergistic effect of alkaline pretreatment and Fe dosing on batch anaerobic digestion of maize straw,"The synergistic effect of alkaline pretreatment and Fe dosing on anaerobic digestion of maize straw was investigated using mesophilic batch reactors. Three straw treatments were investigated as follows: NaOH (4% and 6%) pretreatment, Fe dosage (50, 200, 1000 and 2000 mg/L), and combined NaOH pretreatment and Fe dosage. Compared to the control, NaOH pretreatment alone increased methane yield by 3.5% (313.3 mL CH4/gVS) and 22.5% (370.9 mL CH4/gVS) and shortened the technical digestion time (TDT) from 48 days to 19 days and 10 days in 4% NaOH and 6% NaOH pretreatment respectively. Moreover, Fe dosing (200-1000 mg/L) alone gave a methane yield higher (9.4%) than that obtained from 4% NaOH and 7.5% less than the methane yield from 6% NaOH pretreatment; however, the TDT was 10 days longer. Combining NaOH pretreatment and Fe dosage (200-1000 mg/L) significantly increased the methane yield even further to 21.8% (368.8 mL CH4/gVS) and 56.2% (472.9 mL CH4/gVS), and shortened TOT from 48 days to 13 days and 7 days in 4% NaOH and 6% NaOH pretreatment respectively. This synergistic effect may be attributed to the fact that the alkaline treatment improved accessibility of the biodegradable fraction of the straw while Fe contributed to increased microbial enzyme activity. (C) 2015 Elsevier Ltd. All rights reserved.","Khatri, S; Wu, SB; Kizito, S; Zhang, WQ; Li, JX; Dong, RJ",Anaerobic digestion; Maize straw; NaOH pretreatment; Fe dosing; Synergistic effect,2015,http://dx.doi.org/10.1016/j.apenergy.2015.08.045,Process improvement,nutrient,fe,lignocellulose,corn,straw,94,85.5,,,,38,30,4
Anaerobic digestion of tomato processing waste: Effect of alkaline pretreatment,"The objective of the work was to assess the effect of mild alkaline pretreatment on the anaerobic biodegradability of tomato processing waste (TPW). Experiments were carried out in duplicate BMP bottles using a pretreatment contact time of 4 and 24 h and a 1% and 5% NaOH dosage. The cumulative methane production during a 30 d period was recorded and modelled. The alkaline pretreatment did not significantly affect methane production in any of the treatments in comparison to the control. The average methane production for all runs was 320 NmL/gVS. Based on first order kinetic modelling, the alkaline pretreatment was found to slow down the rate of methanogenesis, mainly in the two reactors with the highest NaOH dosage. The biodegradability of the substrates ranged from 0.75 to 0.82 and from 0.66 to 0.72 based on two different approaches. (C) 2015 Elsevier Ltd. All rights reserved.","Calabro, PS; Greco, R; Evangelou, A; Komilis, D",Alkaline pretreatment; Anaerobic digestion; Biochemical methane potential; Kinetics; Tomato waste,2015,http://dx.doi.org/10.1016/j.jenvman.2015.07.061,Chemical,alkaline,naoh,food waste,tomato,waste,,,,,,,,
Sonolysis and ozonation as pretreatment for anaerobic digestion of solid organic waste,"This study aims to compare the efficiency of sonolysis and ozonation in improving anaerobic biodegradability of source sorted organic fraction of municipal solid waste, for the enhancing of biogas production and energy recovery as well. The methane yield of solid organic material anaerobic digestion is significantly affected by substrate availability, which can be favoured by pretreatments. In this investigation, both sonolysis and ozonation effects on substrate solubilisation and anaerobic biodegradability were evaluated under different treatment conditions. Results show that both pretreatments can significantly improve the solubilisation of organic solid waste. However, during ozonation experiments, no correlation was observed between increased solubilisation and biogas production: the application of higher ozone doses led to the formation of by-products less biodegradable than untreated substrate. This evidence makes the ultrasound process more efficient than ozonation and addresses further studies for sonolysis optimisation as pretreatment for solid waste anaerobic digestion. (C) 2012 Elsevier B.V. All rights reserved.","Cesaro, A; Belgiorno, V",Ultrasound; Ozone; Pretreatment; Anaerobic digestion; Municipal solid waste organic fraction,2013,http://dx.doi.org/10.1016/j.ultsonch.2012.10.017,Physical,ultrasonic,,ofmsw,municipal ,,,,,,,,,
Sonolysis and ozonation as pretreatment for anaerobic digestion of solid organic waste,"This study aims to compare the efficiency of sonolysis and ozonation in improving anaerobic biodegradability of source sorted organic fraction of municipal solid waste, for the enhancing of biogas production and energy recovery as well. The methane yield of solid organic material anaerobic digestion is significantly affected by substrate availability, which can be favoured by pretreatments. In this investigation, both sonolysis and ozonation effects on substrate solubilisation and anaerobic biodegradability were evaluated under different treatment conditions. Results show that both pretreatments can significantly improve the solubilisation of organic solid waste. However, during ozonation experiments, no correlation was observed between increased solubilisation and biogas production: the application of higher ozone doses led to the formation of by-products less biodegradable than untreated substrate. This evidence makes the ultrasound process more efficient than ozonation and addresses further studies for sonolysis optimisation as pretreatment for solid waste anaerobic digestion. (C) 2012 Elsevier B.V. All rights reserved.","Cesaro, A; Belgiorno, V",Ultrasound; Ozone; Pretreatment; Anaerobic digestion; Municipal solid waste organic fraction,2013,http://dx.doi.org/10.1016/j.ultsonch.2012.10.017,Chemical,oxidizer,ozone,ofmsw,municipal ,,,,,,,,,
Enhancing anaerobic digestibility and phosphorus recovery of dairy manure through microwave-based thermochemical pretreatment,"Anaerobic digestion and struvite precipitation are two effective ways of treating dairy manure for recovering biogas and phosphor-us. Anaerobic digestion of dairy manure is commonly limited by slow fiber degradation, while struvite precipitation is limited by the availability of orthophosphate. The aim of this work is to study the possibility of using microwave-based thermochemical pretreatment to simultaneously enhance manure anaerobic digestibility (through fiber degradation) and struvite precipitation (through phosphorus solubilization). Microwave heating combined with different chemicals (NaOH, CaO, H2SO4, or HCl) enhanced solubilization of manure and degradation of glucan/xylan in dairy manure. However, sulfuric acid-based pretreatment resulted in a low anaerobic digestibility, probably due to the sulfur inhibition and Maillard side reaction. The pretreatments released 20-40% soluble phosphorus and 9-14% ammonium. However, CaO-based pretreatment resulted in lower orthophosphate releases and struvite precipitation efficiency as calcium interferes with phosphate to form calcium phosphate. Collectively, microwave heating combined with NaOH or HCl led to a high anaerobic digestibility and phosphorus recovery. Using these two chemicals, the performance of microwave- and conventional-heating in thermochemical pretreatment was further compared. The microwave heating resulted in a better performance in terms of COD solubilization, glucan/xylan reduction, phosphorus solubilization and anaerobic digestibility. Lastly, temperature and heating time used in microwave treatment were optimized. The optimal values of temperature and heating time were 147 degrees C and 25.3 min for methane production, and 135 degrees C and 26 min for orthophosphate release, respectively. (C) 2009 Elsevier Ltd. All rights reserved.","Jin, Y; Hu, ZH; Wen, ZY",Dairy manure; Pretreatment; Anaerobic digestion; Struvite precipitation; Phosphorus recovery; Microwave,2009,http://dx.doi.org/10.1016/j.watres.2009.05.017,Physical,thermal,microwave,manure,cow,,14,13,,,,,,
"Combined hydrothermal and free nitrous acid, alkali and acid pretreatment for biomethane recovery from municipal sludge","This study focused on investigating the effect of combined chemical and hydrothermal pretreatment (HTP) on the anaerobic digestibility of thickened waste activated sludge (TWAS). Three different combined pretreatment conditions of HTP + free nitrous acid (FNA), HTP + Acid, and HTP + Alkaline were applied to TWAS. To control and compare the effect of combined pretreatments and a single pretreatment, Acid, Alkaline, FNA and HTP pretreatments were applied done prior to AD. The results of this study revealed that combined pretreatments have higher potential to improve methane production yield and rate but not in the solubilization of COD. The highest methane yield of 275 mL CH4/g TCOD added was achieved for the combined pretreatment with FNA and HTP. HTP + FNA pretreatment was found to produce higher methane yields compared to the combination of other typical acid and alkaline reagents with hydrothermal pretreatment. Methane yields of 594, 527, and 544 L CH4/g VSS added, were achieved for HTP + FNA, HTP + ALK, and HTP + ACID pretreatments, respectively. The preliminary economic analysis showed that out of the combined pretreatment, only combining HTP with FNA is economically feasible.","Kakar, FL; Purohit, N; Okoye, F; Liss, SN; Elbeshbishy, E",Anaerobic digestion; Pretreatment; TWAS; Hydrothermal pretreatment; Chemical pretreatment; Combined pretreatment,2021,http://dx.doi.org/10.1016/j.wasman.2021.06.021,Physical,thermal,hydrothermal,activated sludge,thickened waste activated sludge,,,,,,,,,
"Combined hydrothermal and free nitrous acid, alkali and acid pretreatment for biomethane recovery from municipal sludge","This study focused on investigating the effect of combined chemical and hydrothermal pretreatment (HTP) on the anaerobic digestibility of thickened waste activated sludge (TWAS). Three different combined pretreatment conditions of HTP + free nitrous acid (FNA), HTP + Acid, and HTP + Alkaline were applied to TWAS. To control and compare the effect of combined pretreatments and a single pretreatment, Acid, Alkaline, FNA and HTP pretreatments were applied done prior to AD. The results of this study revealed that combined pretreatments have higher potential to improve methane production yield and rate but not in the solubilization of COD. The highest methane yield of 275 mL CH4/g TCOD added was achieved for the combined pretreatment with FNA and HTP. HTP + FNA pretreatment was found to produce higher methane yields compared to the combination of other typical acid and alkaline reagents with hydrothermal pretreatment. Methane yields of 594, 527, and 544 L CH4/g VSS added, were achieved for HTP + FNA, HTP + ALK, and HTP + ACID pretreatments, respectively. The preliminary economic analysis showed that out of the combined pretreatment, only combining HTP with FNA is economically feasible.","Kakar, FL; Purohit, N; Okoye, F; Liss, SN; Elbeshbishy, E",Anaerobic digestion; Pretreatment; TWAS; Hydrothermal pretreatment; Chemical pretreatment; Combined pretreatment,2021,http://dx.doi.org/10.1016/j.wasman.2021.06.021,Chemical,acidic,free nitruous acid,activated sludge,thickened waste activated sludge,,,,,,,,,
"Combined hydrothermal and free nitrous acid, alkali and acid pretreatment for biomethane recovery from municipal sludge","This study focused on investigating the effect of combined chemical and hydrothermal pretreatment (HTP) on the anaerobic digestibility of thickened waste activated sludge (TWAS). Three different combined pretreatment conditions of HTP + free nitrous acid (FNA), HTP + Acid, and HTP + Alkaline were applied to TWAS. To control and compare the effect of combined pretreatments and a single pretreatment, Acid, Alkaline, FNA and HTP pretreatments were applied done prior to AD. The results of this study revealed that combined pretreatments have higher potential to improve methane production yield and rate but not in the solubilization of COD. The highest methane yield of 275 mL CH4/g TCOD added was achieved for the combined pretreatment with FNA and HTP. HTP + FNA pretreatment was found to produce higher methane yields compared to the combination of other typical acid and alkaline reagents with hydrothermal pretreatment. Methane yields of 594, 527, and 544 L CH4/g VSS added, were achieved for HTP + FNA, HTP + ALK, and HTP + ACID pretreatments, respectively. The preliminary economic analysis showed that out of the combined pretreatment, only combining HTP with FNA is economically feasible.","Kakar, FL; Purohit, N; Okoye, F; Liss, SN; Elbeshbishy, E",Anaerobic digestion; Pretreatment; TWAS; Hydrothermal pretreatment; Chemical pretreatment; Combined pretreatment,2021,http://dx.doi.org/10.1016/j.wasman.2021.06.021,Chemical,alkaline,,activated sludge,thickened waste activated sludge,,,,,,,,,
Improving the methane production from zucchini stem by response surface methodology and different pretreatments,"Each year, about 2.4 million tons of zucchini stem (ZS) are discarded after harvesting of zucchini and result in serious environmental pollutions. This study adopted anaerobic digestion (AD) technology to convert ZS to clean energy and systematically investigated the methane production performance of ZS. For improving AD efficiency, organic loading (OL) and feed to inoculum ratio (F/I ratio) were optimized by response surface methodology (RSM), and various pretreatment techniques including KOH, Ca(OH)(2), NaOH, alkaline hydrogen peroxide (AHP), HCl and microwave (MW) pretreatment were studied. RSM results showed that OL and F/I ratio had obvious influences on cumulative methane yield (CMY), and the highest CMY of 239.6 mL.g(vs)(-1) was determined at OL of 17.8 g(vs).L-1 and F/I ratio of 0.75. Among all the pretreatments, ZS pretreated with 4% NaOH, 4% AHP, and 2% KOH significantly promoted CMY to 338.3 mL.g(vs)(-1), 277.6 mL.g(vs)(-1), and 266.1 mL.g(vs)(-1), with the biodegradability of 80.39%, 65.96%, and 63.21%, which were 74.91%, 43.52%, and 37.54% higher than raw ZS, respectively. Furthermore, SEM, XRD, and FTIR analyses showed that alkaline pretreated ZS had preferable structural changes. This study not only explores a novel and sustainable AD feedstock and develops an efficient utilization method for ZS in future application but also converts ZS into bio-methane, which can be used instead of fossil fuels for improving energy structure.","Gu, YQ; Cai, FF; Zhu, Z; Dai, ZQ; Chen, C; Liu, GQ",Zucchini stem; Anaerobic digestion; Methane production; Pretreatment; Response surface methodology,2020,http://dx.doi.org/10.1016/j.indcrop.2020.112402,Chemical,alkaline,"koh,caoh,naoh",lignocellulose,zucchini,stem,7,5.8,39,4,9.71,29,13,7.9
Improving the methane production from zucchini stem by response surface methodology and different pretreatments,"Each year, about 2.4 million tons of zucchini stem (ZS) are discarded after harvesting of zucchini and result in serious environmental pollutions. This study adopted anaerobic digestion (AD) technology to convert ZS to clean energy and systematically investigated the methane production performance of ZS. For improving AD efficiency, organic loading (OL) and feed to inoculum ratio (F/I ratio) were optimized by response surface methodology (RSM), and various pretreatment techniques including KOH, Ca(OH)(2), NaOH, alkaline hydrogen peroxide (AHP), HCl and microwave (MW) pretreatment were studied. RSM results showed that OL and F/I ratio had obvious influences on cumulative methane yield (CMY), and the highest CMY of 239.6 mL.g(vs)(-1) was determined at OL of 17.8 g(vs).L-1 and F/I ratio of 0.75. Among all the pretreatments, ZS pretreated with 4% NaOH, 4% AHP, and 2% KOH significantly promoted CMY to 338.3 mL.g(vs)(-1), 277.6 mL.g(vs)(-1), and 266.1 mL.g(vs)(-1), with the biodegradability of 80.39%, 65.96%, and 63.21%, which were 74.91%, 43.52%, and 37.54% higher than raw ZS, respectively. Furthermore, SEM, XRD, and FTIR analyses showed that alkaline pretreated ZS had preferable structural changes. This study not only explores a novel and sustainable AD feedstock and develops an efficient utilization method for ZS in future application but also converts ZS into bio-methane, which can be used instead of fossil fuels for improving energy structure.","Gu, YQ; Cai, FF; Zhu, Z; Dai, ZQ; Chen, C; Liu, GQ",Zucchini stem; Anaerobic digestion; Methane production; Pretreatment; Response surface methodology,2020,http://dx.doi.org/10.1016/j.indcrop.2020.112402,Chemical,oxidizer,peroxide h2o2,lignocellulose,zucchini,stem,7,5.8,39,4,9.71,29,13,7.9
Improving the methane production from zucchini stem by response surface methodology and different pretreatments,"Each year, about 2.4 million tons of zucchini stem (ZS) are discarded after harvesting of zucchini and result in serious environmental pollutions. This study adopted anaerobic digestion (AD) technology to convert ZS to clean energy and systematically investigated the methane production performance of ZS. For improving AD efficiency, organic loading (OL) and feed to inoculum ratio (F/I ratio) were optimized by response surface methodology (RSM), and various pretreatment techniques including KOH, Ca(OH)(2), NaOH, alkaline hydrogen peroxide (AHP), HCl and microwave (MW) pretreatment were studied. RSM results showed that OL and F/I ratio had obvious influences on cumulative methane yield (CMY), and the highest CMY of 239.6 mL.g(vs)(-1) was determined at OL of 17.8 g(vs).L-1 and F/I ratio of 0.75. Among all the pretreatments, ZS pretreated with 4% NaOH, 4% AHP, and 2% KOH significantly promoted CMY to 338.3 mL.g(vs)(-1), 277.6 mL.g(vs)(-1), and 266.1 mL.g(vs)(-1), with the biodegradability of 80.39%, 65.96%, and 63.21%, which were 74.91%, 43.52%, and 37.54% higher than raw ZS, respectively. Furthermore, SEM, XRD, and FTIR analyses showed that alkaline pretreated ZS had preferable structural changes. This study not only explores a novel and sustainable AD feedstock and develops an efficient utilization method for ZS in future application but also converts ZS into bio-methane, which can be used instead of fossil fuels for improving energy structure.","Gu, YQ; Cai, FF; Zhu, Z; Dai, ZQ; Chen, C; Liu, GQ",Zucchini stem; Anaerobic digestion; Methane production; Pretreatment; Response surface methodology,2020,http://dx.doi.org/10.1016/j.indcrop.2020.112402,Chemical,acidic,hcl,lignocellulose,zucchini,stem,7,5.8,39,4,9.71,29,13,7.9
Improving the methane production from zucchini stem by response surface methodology and different pretreatments,"Each year, about 2.4 million tons of zucchini stem (ZS) are discarded after harvesting of zucchini and result in serious environmental pollutions. This study adopted anaerobic digestion (AD) technology to convert ZS to clean energy and systematically investigated the methane production performance of ZS. For improving AD efficiency, organic loading (OL) and feed to inoculum ratio (F/I ratio) were optimized by response surface methodology (RSM), and various pretreatment techniques including KOH, Ca(OH)(2), NaOH, alkaline hydrogen peroxide (AHP), HCl and microwave (MW) pretreatment were studied. RSM results showed that OL and F/I ratio had obvious influences on cumulative methane yield (CMY), and the highest CMY of 239.6 mL.g(vs)(-1) was determined at OL of 17.8 g(vs).L-1 and F/I ratio of 0.75. Among all the pretreatments, ZS pretreated with 4% NaOH, 4% AHP, and 2% KOH significantly promoted CMY to 338.3 mL.g(vs)(-1), 277.6 mL.g(vs)(-1), and 266.1 mL.g(vs)(-1), with the biodegradability of 80.39%, 65.96%, and 63.21%, which were 74.91%, 43.52%, and 37.54% higher than raw ZS, respectively. Furthermore, SEM, XRD, and FTIR analyses showed that alkaline pretreated ZS had preferable structural changes. This study not only explores a novel and sustainable AD feedstock and develops an efficient utilization method for ZS in future application but also converts ZS into bio-methane, which can be used instead of fossil fuels for improving energy structure.","Gu, YQ; Cai, FF; Zhu, Z; Dai, ZQ; Chen, C; Liu, GQ",Zucchini stem; Anaerobic digestion; Methane production; Pretreatment; Response surface methodology,2020,http://dx.doi.org/10.1016/j.indcrop.2020.112402,Physical,thermal,microwave,lignocellulose,zucchini,stem,7,5.8,39,4,9.71,29,13,7.9
Mechanical Pre-treatments Evaluation of Cattle Manure Before Anaerobic Digestion,"Pre-treatments are often applied in anaerobic digestion in order to improve the performance of the process: increased methane yield and rate. Physical pretreatments are the most commonly used for anaerobic digestion of agricultural waste. The main purpose of this work was to evaluate the effects of different lab-scale mechanical pretreatments on cattle manure. Three mechanical pre-treatments were sequentially applied to cattle manure: shredding, mixing and blending. An original set of analytical procedures was performed before and after mechanical pretreatments, in order to assess physical, chemical and biological properties of the feedstock. Thus, shredding and mixing pre-treatments were not significantly efficient in terms of methane production yield and rate. In contrast, methane production rate increased with blending treatment, and methane yield was slightly improved as well. An increase of soluble chemical oxygen demand (COD) was also reported with blending pretreatment. The reduction of particle size was mainly between 31.5 and 4 mm for all pretreatments and it led to an increase of water retention capacity of the cattle manure. Therefore, mechanical pre-treatments do not only affect the biochemical characteristics of agricultural waste. It also influences its structure and reactivity. In this context, blending pretreatment showed as the most performant pretreatment among the evaluated pretreatments with an increase of 18% on methane rate and a higher COD solubilisation. [GRAPHICS] .","Fernandez, HC; Franco, RT; Bayard, R; Buffiere, P",Mechanical pretreatments; Anaerobic digestion; Agricultural waste; Cattle manure; Biomass characterization,2020,http://dx.doi.org/10.1007/s12649-020-01022-4,Physical,mechanical desintegration,"shredding, mixing,blending",manure,cow,,,,,,,,,
